============================================================
Training run 2 started at 2026-05-09 11:15:39
============================================================
Using device: cuda
GPU: Tesla T4
Game: Qbert
Number of actions: 6
Hyperparameters:
  learning_rate: 0.0001
  gamma: 0.99
  buffer_size: 500000
  batch_size: 32
  epsilon_start: 1.0
  epsilon_end: 0.1
  epsilon_decay_steps: 1000000
  total_steps: 2500000
  eval_freq: 10000
  eval_episodes: 5
Collecting fixed states for Q-value tracking...
Collected 1000 fixed states

Starting training run 2...
Total steps: 2500000 (starting from 1)
Evaluation every 10000 steps
--------------------------------------------------
Step  310000 | Eval Reward:   150.00 | Avg Max Q:   4.73 | Loss:   0.0948 | Epsilon: 0.721 | Buffer:  310000 | Train Eps:  27 | Train R:  270.37 | 137.1 steps/s
Step  320000 | Eval Reward:     0.00 | Avg Max Q:   3.62 | Loss:   0.1029 | Epsilon: 0.712 | Buffer:  320000 | Train Eps:  27 | Train R:  235.19 | 137.0 steps/s
Step  330000 | Eval Reward:     0.00 | Avg Max Q:   4.90 | Loss:   0.0991 | Epsilon: 0.703 | Buffer:  330000 | Train Eps:  27 | Train R:  210.19 | 135.9 steps/s
Step  340000 | Eval Reward:   225.00 | Avg Max Q:   5.24 | Loss:   0.1025 | Epsilon: 0.694 | Buffer:  340000 | Train Eps:  28 | Train R:  190.18 | 133.4 steps/s
Step  350000 | Eval Reward:   275.00 | Avg Max Q:   3.35 | Loss:   0.1013 | Epsilon: 0.685 | Buffer:  350000 | Train Eps:  28 | Train R:  176.79 | 131.8 steps/s
Step  360000 | Eval Reward:     0.00 | Avg Max Q:   3.25 | Loss:   0.1023 | Epsilon: 0.676 | Buffer:  360000 | Train Eps:  28 | Train R:  241.96 | 133.3 steps/s
Step  370000 | Eval Reward:   500.00 | Avg Max Q:   5.97 | Loss:   0.1000 | Epsilon: 0.667 | Buffer:  370000 | Train Eps:  28 | Train R:  233.93 | 127.5 steps/s
Step  380000 | Eval Reward:     0.00 | Avg Max Q:   5.10 | Loss:   0.1025 | Epsilon: 0.658 | Buffer:  380000 | Train Eps:  28 | Train R:  187.50 | 130.1 steps/s
Step  390000 | Eval Reward:     0.00 | Avg Max Q:   3.43 | Loss:   0.0998 | Epsilon: 0.649 | Buffer:  390000 | Train Eps:  30 | Train R:  182.50 | 129.4 steps/s
Step  400000 | Eval Reward:   275.00 | Avg Max Q:   3.63 | Loss:   0.1008 | Epsilon: 0.640 | Buffer:  400000 | Train Eps:  28 | Train R:  196.43 | 125.2 steps/s
Step  410000 | Eval Reward:   250.00 | Avg Max Q:   4.60 | Loss:   0.0970 | Epsilon: 0.631 | Buffer:  410000 | Train Eps:  27 | Train R:  212.96 | 125.7 steps/s
Step  420000 | Eval Reward:   275.00 | Avg Max Q:   3.76 | Loss:   0.0968 | Epsilon: 0.622 | Buffer:  420000 | Train Eps:  28 | Train R:  214.29 | 125.1 steps/s
Step  430000 | Eval Reward:   525.00 | Avg Max Q:   4.77 | Loss:   0.1000 | Epsilon: 0.613 | Buffer:  430000 | Train Eps:  28 | Train R:  217.86 | 124.2 steps/s
Step  440000 | Eval Reward:   450.00 | Avg Max Q:   3.49 | Loss:   0.1005 | Epsilon: 0.604 | Buffer:  440000 | Train Eps:  27 | Train R:  249.07 | 121.6 steps/s
Step  450000 | Eval Reward:   125.00 | Avg Max Q:   5.00 | Loss:   0.1052 | Epsilon: 0.595 | Buffer:  450000 | Train Eps:  27 | Train R:  237.04 | 121.4 steps/s
Step  460000 | Eval Reward:   150.00 | Avg Max Q:   5.67 | Loss:   0.0992 | Epsilon: 0.586 | Buffer:  460000 | Train Eps:  26 | Train R:  253.85 | 122.7 steps/s
Step  470000 | Eval Reward:   225.00 | Avg Max Q:   3.14 | Loss:   0.1049 | Epsilon: 0.577 | Buffer:  470000 | Train Eps:  28 | Train R:  202.68 | 120.7 steps/s
Step  480000 | Eval Reward:     0.00 | Avg Max Q:   4.69 | Loss:   0.1051 | Epsilon: 0.568 | Buffer:  480000 | Train Eps:  29 | Train R:  214.66 | 121.3 steps/s
Step  490000 | Eval Reward:   700.00 | Avg Max Q:   3.27 | Loss:   0.1011 | Epsilon: 0.559 | Buffer:  490000 | Train Eps:  26 | Train R:  280.77 | 118.8 steps/s
Step  500000 | Eval Reward:   275.00 | Avg Max Q:   3.92 | Loss:   0.1055 | Epsilon: 0.550 | Buffer:  500000 | Train Eps:  25 | Train R:  310.00 | 119.1 steps/s
Step  510000 | Eval Reward:   275.00 | Avg Max Q:   3.96 | Loss:   0.1073 | Epsilon: 0.541 | Buffer:  500000 | Train Eps:  25 | Train R:  222.00 | 116.8 steps/s
Step  520000 | Eval Reward:     0.00 | Avg Max Q:   5.31 | Loss:   0.1039 | Epsilon: 0.532 | Buffer:  500000 | Train Eps:  28 | Train R:  227.68 | 119.9 steps/s
Step  530000 | Eval Reward:   550.00 | Avg Max Q:   4.09 | Loss:   0.1081 | Epsilon: 0.523 | Buffer:  500000 | Train Eps:  26 | Train R:  289.42 | 116.8 steps/s
Step  540000 | Eval Reward:   525.00 | Avg Max Q:   4.55 | Loss:   0.1006 | Epsilon: 0.514 | Buffer:  500000 | Train Eps:  25 | Train R:  294.00 | 118.3 steps/s
Step  550000 | Eval Reward:     0.00 | Avg Max Q:   4.28 | Loss:   0.1013 | Epsilon: 0.505 | Buffer:  500000 | Train Eps:  25 | Train R:  252.00 | 120.2 steps/s
Step  560000 | Eval Reward:     0.00 | Avg Max Q:   2.19 | Loss:   0.0999 | Epsilon: 0.496 | Buffer:  500000 | Train Eps:  26 | Train R:  214.42 | 119.7 steps/s
